9,1,0
9,2,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
9,3,0
10,1,0
10,2,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
10,3,0
11,1,0
11,2,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
11,3,0
12,1,0
12,2,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
12,3,0
13,1,0
13,2,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,0
13,3,1
13,3,1
13,3,1
13,3,1
13,3,1
13,3,1
4,1,5
5,1,5
6,1,5
7,1,5
8,1,5
4,2,10
5,2,10
6,2,10
7,2,10
8,2,10
4,3,15
5,3,15
6,3,15
7,3,15
8,3,15
4,3,20
5,3,20
6,3,20
7,3,20
8,3,20
4,3,25
5,3,25
6,3,25
7,3,25
8,3,25
4,3,30
5,3,30
6,3,30
7,3,30
8,3,30
4,3,35
5,3,35
6,3,35
7,3,35
8,3,35
4,3,40
5,3,40
6,3,40
7,3,40
8,3,40
4,3,45
5,3,45
6,3,45
7,3,45
8,3,45
7,0,50
8,0,50
4,0,50
5,0,50
6,0,50
4,1,55
5,1,55
6,1,55
7,1,55
8,1,55
6,2,60
7,2,60
8,2,60
4,2,60
5,2,60
7,3,65
8,3,65
4,3,65
5,3,65
6,3,65
4,3,70
5,3,70
6,3,70
7,3,70
8,3,70
4,3,75
5,3,75
6,3,75
7,3,75
8,3,75
5,3,80
6,3,80
7,3,80
8,3,80
4,3,80
4,3,85
5,3,85
6,3,85
7,3,85
8,3,85
4,3,90
5,3,90
6,3,90
7,3,90
8,3,90
4,3,95
5,3,95
6,3,95
7,3,95
8,3,95
4,0,100
5,0,100
6,0,100
7,0,100
8,0,100
